Date,Close
1990-01-02,0.735649999999999
1990-01-03,0.7317
1990-01-04,0.736699999999999
1990-01-05,0.73305
1990-01-08,0.7353
1990-01-09,0.73095
1990-01-10,0.72695
1990-01-11,0.7288
1990-01-12,0.72615
1990-01-15,0.72525
1990-01-16,0.72455
1990-01-17,0.7292
1990-01-18,0.72305
1990-01-19,0.723449999999999
1990-01-22,0.72175
1990-01-23,0.7258
1990-01-24,0.72865
1990-01-25,0.72805
1990-01-26,0.72615
1990-01-29,0.7228
1990-01-30,0.727449999999999
1990-01-31,0.72025
1990-02-01,0.72205
1990-02-02,0.72045
1990-02-05,0.722599999999999
1990-02-06,0.7218
1990-02-07,0.72395
1990-02-08,0.721649999999999
1990-02-09,0.72
1990-02-12,0.719349999999999
1990-02-13,0.7197
1990-02-14,0.71785
1990-02-15,0.71445
1990-02-16,0.7174
1990-02-19,0.714
1990-02-20,0.7153
1990-02-21,0.7138
1990-02-22,0.71455
1990-02-23,0.713649999999999
1990-02-26,0.71655
1990-02-27,0.71645
1990-02-28,0.71645
1990-03-01,0.71605
1990-03-02,0.72315
1990-03-05,0.7321
1990-03-06,0.72805
1990-03-07,0.7294
1990-03-08,0.7322
1990-03-09,0.74045
1990-03-12,0.737749999999999
1990-03-13,0.739649999999999
1990-03-14,0.74015
1990-03-15,0.740699999999999
1990-03-16,0.74125
1990-03-19,0.7474
1990-03-20,0.74635
1990-03-21,0.74615
1990-03-22,0.74635
1990-03-23,0.74425
1990-03-26,0.7394
1990-03-27,0.7348
1990-03-28,0.73505
1990-03-29,0.73465
1990-03-30,0.73325
1990-04-02,0.735749999999999
1990-04-03,0.7368
1990-04-04,0.7342
1990-04-05,0.73235
1990-04-06,0.73585
1990-04-09,0.7396
1990-04-10,0.7419
1990-04-11,0.743749999999999
1990-04-12,0.74455
1990-04-13,0.74545
1990-04-16,0.746699999999999
1990-04-17,0.74395
1990-04-18,0.74505
1990-04-19,0.73995
1990-04-20,0.7399
1990-04-23,0.7374
1990-04-24,0.73785
1990-04-25,0.743649999999999
1990-04-26,0.7454
1990-04-27,0.74665
1990-04-30,0.74295
1990-05-01,0.7409
1990-05-02,0.74035
1990-05-03,0.74275
1990-05-04,0.73935
1990-05-07,0.741549999999999
1990-05-08,0.739549999999999
1990-05-09,0.7453
1990-05-10,0.745849999999999
1990-05-11,0.74215
1990-05-14,0.7402
1990-05-15,0.7418
1990-05-16,0.73995
1990-05-17,0.7329
1990-05-18,0.73465
1990-05-21,0.7312
1990-05-22,0.72615
1990-05-23,0.7247
1990-05-24,0.7231
1990-05-25,0.72235
1990-05-28,0.72245
1990-05-29,0.7237
1990-05-30,0.720499999999999
1990-05-31,0.72205
1990-06-01,0.719549999999999
1990-06-04,0.72405
1990-06-05,0.72245
1990-06-06,0.7212
1990-06-07,0.7188
1990-06-08,0.71905
1990-06-11,0.7199
1990-06-12,0.7161
1990-06-13,0.71105
1990-06-14,0.71705
1990-06-15,0.7127
1990-06-18,0.7175
1990-06-19,0.7171
1990-06-20,0.7147
1990-06-21,0.7156
1990-06-22,0.7109
1990-06-25,0.710599999999999
1990-06-26,0.70895
1990-06-27,0.7115
1990-06-28,0.7118
1990-06-29,0.707
1990-07-02,0.701449999999999
1990-07-03,0.70395
1990-07-04,0.704199999999999
1990-07-05,0.7035
1990-07-06,0.70035
1990-07-09,0.6946
1990-07-10,0.6911
1990-07-11,0.69685
1990-07-12,0.68795
1990-07-13,0.70005
1990-07-16,0.6948
1990-07-17,0.69255
1990-07-18,0.69445
1990-07-19,0.69585
1990-07-20,0.69415
1990-07-23,0.69805
1990-07-24,0.704399999999999
1990-07-25,0.7053
1990-07-26,0.7033
1990-07-27,0.69855
1990-07-30,0.6992
1990-07-31,0.6999
1990-08-01,0.7005
1990-08-02,0.701449999999999
1990-08-03,0.69905
1990-08-06,0.70225
1990-08-07,0.70105
1990-08-08,0.69755
1990-08-09,0.698099999999999
1990-08-10,0.69655
1990-08-13,0.699249999999999
1990-08-14,0.69785
1990-08-15,0.700199999999999
1990-08-16,0.69485
1990-08-17,0.695449999999999
1990-08-20,0.69595
1990-08-21,0.692
1990-08-22,0.6904
1990-08-23,0.6849
1990-08-24,0.68865
1990-08-27,0.690399999999999
1990-08-28,0.68865
1990-08-29,0.6879
